Ubl Lbd Rbu	[R' y: [U' l' U, r']]
Ubl Lbd Rdf	[z: [Uw r Uw', l2]]
Ubl Lbd Rfu	[y': [U' r' U, l']]
Ubl Lbd Ubr	[r d' r', U]
Ubl Lbd Ufl	[U2: [r d' r', U']]
Ubl Lbd Ufr	[U': [r d' r', U2]]
Ubl Lbu Bdl	[z: [l U2 l', u']]
Ubl Lbu Bdr	[U: [r', Uw' l' Uw]]
Ubl Lbu Blu	[U x': [r U2 r', u']]
Ubl Lbu Bru	[u, r' U2 r]
Ubl Lbu Dbl	[D' Rw': [u, r' U2 r]]
Ubl Lbu Dbr	[Rw': [u, r' U2 r]]
Ubl Lbu Dfl	[y' U: [U r2 U', l']]
Ubl Lbu Dfr	[U: [r2, Uw' l' Uw]]
Ubl Lbu Fdl	[z U': [Uw r Uw', l']]
Ubl Lbu Fdr	[Rw: [r u r', U2]]
Ubl Lbu Flu	[U: [u', l' U' l]]
Ubl Lbu Fru	[U: [r, Uw' l' Uw]]
Ubl Lbu Rbd	[R2 u: [r' U2 r, u2]]
Ubl Lbu Rbu	[L u: [u2, r U r']]
Ubl Lbu Rdf	[R u: [r' U2 r, u2]]
Ubl Lbu Rfu	[u: [r' U2 r, u2]]
Ubl Lbu Ubr	[U', l u' l']
